Data;Casa Verde;Freguesia do Ó;Jaçanã / Tremembé;Vila Maria / Guilherme;Pirituba / Jaraguá;Perus;Santana;Aricanduva / Vila Formosa;Ermelino Matarazzo;Guaianazes;Itaquera;Itaim Paulista;Móoca;São Miguel Paulista;Penha;São Mateus; Cidade Tiradentes;Vila Prudente;Sapopemba;Consolação;Sé;Butantã;Lapa;Pinheiros;M Boi Mirim;Campo Limpo;Capela do Socorro;Ipiranga;Jabaquara;Santo Amaro;Vila Mariana;Parelheiros ;Cidade Ademar;Incidente
01/01/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
02/01/2024;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,0;3,3;0,0;2,5;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
03/01/2024;10,4;11,6;21,5;10,5;11,7;12,8;16,1;3,2;10,2;14,6;7,6;10,2;3,1;10,6;6,9;3,5;10,0;5,0;4,2;1,8;1,9;1,7;5,5;1,5;0,6;1,5;1,6;0,7;0,4;1,7;0,3;3,8;0,9;0
04/01/2024;9,0;7,5;6,8;7,4;3,7;2,1;8,9;8,5;5,1;2,7;6,1;2,7;7,5;3,4;6,7;11,3;5,4;13,2;12,3;18,5;13,4;5,7;6,0;11,8;5,7;4,7;18,6;16,0;16,8;12,8;17,2;29,2;19,2;0
05/01/2024;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;2,9;0,4;0,5;0,1;0,1;1,0;0,0;4,1;0,3;0
06/01/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,3;0,0;0,0;0,0;0,0;1,7;0,1;0
07/01/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;0,1;0,2;0,6;0,0;2,3;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
08/01/2024;25,9;21,1;8,8;12,0;12,5;10,0;19,3;3,5;20,4;27,8;18,3;22,1;12,1;28,3;10,6;8,9;24,1;3,4;3,4;59,0;37,6;14,7;21,9;29,2;1,9;1,5;2,0;15,4;27,8;10,8;30,5;8,6;11,4;1
09/01/2024;19,6;10,7;10,0;28,8;1,9;0,6;22,5;8,2;3,0;6,4;2,8;2,3;24,1;1,2;7,1;1,0;4,4;5,7;1,0;36,3;33,3;1,9;8,0;11,0;10,2;5,5;0,4;11,2;10,6;4,1;19,7;0,8;1,7;1
10/01/2024;26,5;23,7;31,3;32,0;25,5;12,3;36,8;8,4;24,1;31,4;19,1;49,6;21,0;53,6;13,6;18,6;24,1;8,0;13,5;77,3;55,5;32,7;33,6;50,8;23,5;28,5;15,3;20,4;47,6;61,1;52,1;4,0;33,6;1
11/01/2024;0,8;1,0;1,1;1,1;2,0;2,3;1,0;0,7;1,1;1,0;0,7;0,7;0,8;1,0;0,8;1,2;0,9;1,2;1,4;1,0;1,1;6,6;2,0;1,6;5,0;5,6;9,9;1,2;3,3;7,6;1,3;16,0;9,4;1
12/01/2024;62,8;63,5;69,2;59,6;52,1;46,8;62,6;41,0;41,6;23,6;28,8;22,0;48,8;30,6;43,5;32,8;24,6;48,9;40,7;62,3;54,1;61,9;50,6;60,7;91,6;63,2;121,4;53,7;71,2;71,7;64,0;109,9;86,3;1
13/01/2024;6,8;6,5;4,2;5,3;8,1;11,2;5,9;6,5;5,3;6,7;5,3;6,9;5,6;7,1;4,4;7,6;7,3;10,5;10,4;10,0;7,7;10,4;9,8;12,0;20,4;8,0;27,0;8,9;19,3;18,2;10,2;23,9;27,3;1
14/01/2024;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,1;0,0;0,4;0,1;0,2;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0
15/01/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
16/01/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
17/01/2024;2,0;0,9;2,4;16,4;0,7;1,6;5,5;27,7;13,1;7,0;23,4;3,9;13,6;8,3;20,5;17,1;10,6;9,8;18,3;3,8;3,4;2,0;1,0;2,1;12,4;8,6;7,4;6,6;6,5;5,7;6,6;2,5;7,2;1
18/01/2024;1,6;1,1;5,6;13,5;0,6;2,1;1,8;12,2;25,1;3,3;6,5;13,8;10,8;14,6;28,3;2,4;1,2;1,9;4,9;13,3;8,2;10,5;8,9;12,5;15,2;8,6;10,6;0,5;0,1;2,4;3,2;7,9;3,0;1
19/01/2024;1,3;0,8;25,0;26,9;1,7;2,3;6,7;52,9;67,7;35,4;36,2;38,6;35,4;50,3;71,4;25,7;27,9;49,8;35,3;5,5;9,4;6,0;1,5;9,6;4,0;4,2;17,8;49,5;40,6;16,4;33,0;26,6;20,3;1
20/01/2024;17,2;16,5;17,3;20,6;13,3;18,4;19,2;11,8;17,0;15,2;16,9;13,4;13,2;13,9;17,2;16,7;15,8;12,8;17,0;12,7;13,7;16,0;11,0;17,5;24,3;19,1;31,3;17,6;23,6;21,0;21,7;37,1;22,5;1
21/01/2024;19,1;23,9;18,3;16,9;26,2;29,9;16,8;9,5;10,2;8,3;8,4;7,3;16,4;6,9;12,5;16,0;16,5;8,4;8,0;17,3;16,2;21,3;17,8;18,5;13,0;20,7;13,4;12,9;14,1;12,4;16,0;21,6;11,0;0
22/01/2024;0,3;0,3;0,4;0,3;1,1;2,3;0,3;0,3;0,0;0,2;0,1;0,1;0,2;0,1;0,1;0,5;0,4;0,5;0,5;0,2;0,2;1,0;0,7;1,2;2,4;1,5;3,3;0,8;1,2;2,0;1,2;7,1;2,6;0
23/01/2024;25,5;26,4;31,2;30,4;22,2;20,0;29,0;20,1;29,2;20,1;22,4;26,8;22,6;29,4;26,4;19,8;19,4;17,0;19,4;28,3;24,7;24,4;24,4;27,6;21,9;23,1;21,5;19,6;23,5;22,7;25,6;27,6;21,1;1
24/01/2024;0,2;0,6;0,2;0,0;1,0;1,1;0,1;0,2;0,4;0,0;0,1;0,1;0,1;0,1;0,4;0,3;0,1;0,3;0,2;0,0;0,1;0,2;0,4;0,2;0,3;0,2;1,1;0,4;0,3;0,3;0,2;6,5;0,5;1
25/01/2024;0,5;0,3;0,4;0,6;0,3;0,5;0,6;0,1;0,0;0,2;0,3;0,2;0,7;0,0;0,1;0,9;1,1;0,3;0,3;1,3;0,8;1,1;0,3;0,7;1,9;1,2;2,8;0,7;1,0;1,2;0,7;13,4;1,6;1
26/01/2024;0,6;0,6;0,1;0,1;0,5;1,0;0,3;0,2;0,0;0,0;0,2;0,0;0,5;0,0;0,1;0,6;0,1;0,5;0,5;1,2;1,1;0,7;0,7;1,1;0,9;0,6;2,4;1,4;2,3;1,6;1,3;3,9;2,4;1
27/01/2024;8,3;9,8;5,4;2,9;5,5;1,6;5,1;9,1;11,9;4,6;8,2;10,7;10,3;13,3;5,9;1,2;0,3;12,6;6,8;3,5;6,7;4,8;5,3;6,5;3,0;4,5;3,1;14,5;14,1;8,8;13,2;1,0;9,8;1
28/01/2024;13,4;14,5;13,5;9,4;12,4;9,1;11,7;7,7;10,6;6,9;9,4;10,1;6,3;11,1;8,7;8,5;6,4;3,6;7,1;11,8;9,0;20,1;15,5;20,3;7,2;12,4;7,2;14,3;27,6;16,6;21,7;2,5;19,3;1
29/01/2024;0,2;0,0;2,8;1,0;0,1;0,7;1,3;0,0;5,9;2,9;6,1;0,6;0,0;2,0;4,5;1,2;4,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;1
30/01/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
31/01/2024;9,1;12,8;8,5;12,9;16,1;24,3;10,6;23,3;12,8;14,6;24,0;6,9;18,6;5,4;15,3;23,3;25,0;27,9;27,2;2,2;7,4;8,6;8,5;4,6;15,3;5,5;17,3;26,6;24,9;12,6;11,7;16,0;30,0;1
01/02/2024;1,8;1,8;3,3;5,1;1,8;0,7;3,1;0,7;0,7;0,0;0,0;0,1;12,1;0,3;0,3;0,0;0,0;6,8;0,0;4,0;10,1;3,1;3,0;4,5;0,3;1,5;0,1;15,9;2,1;3,2;8,3;1,1;0,7;0
02/02/2024;13,8;16,3;13,0;6,7;11,3;14,6;11,8;3,0;5,3;1,2;2,1;2,3;4,7;2,5;5,7;9,4;5,1;1,8;5,5;3,8;4,2;6,1;3,8;2,7;9,9;7,7;24,8;12,0;18,1;9,3;7,0;15,8;22,0;1
03/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
04/02/2024;3,2;3,6;1,4;6,9;3,5;7,4;3,7;5,9;5,9;11,2;7,3;3,3;2,8;1,1;9,2;16,8;22,0;12,5;14,7;0,3;0,3;4,9;0,2;6,9;23,4;11,2;19,3;14,2;23,7;22,4;10,5;4,7;22,7;1
05/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
06/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
07/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
08/02/2024;0,2;0,4;0,2;0,0;0,5;0,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
09/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
10/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
11/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
12/02/2024;0,0;0,1;0,0;0,0;2,7;2,3;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,5;0,1;0,0;0,0;0,0;0,0;0,0;0,0;5,1;2,0;1,0;2,6;7,5;0,2;0,0;0,0;0,4;0,0;0,0;0,0;0
13/02/2024;28,4;32,6;28,0;42,2;37,8;31,2;33,1;26,2;24,9;24,7;16,9;16,2;36,8;16,3;28,8;30,1;43,7;24,9;18,4;41,8;27,6;46,0;39,9;30,7;44,0;45,2;49,5;29,4;42,0;43,6;19,6;26,8;47,9;1
14/02/2024;28,5;30,0;26,5;18,9;27,2;29,0;25,4;17,9;18,3;12,3;17,4;22,0;15,9;21,9;19,7;23,8;17,0;16,5;20,1;18,3;17,8;21,4;23,6;24,5;19,4;16,1;27,6;16,2;18,3;18,5;17,8;30,4;22,9;1
15/02/2024;3,1;5,1;1,7;0,7;6,2;7,5;1,9;1,5;2,7;2,1;2,4;3,1;0,7;2,9;1,9;3,1;1,8;1,0;2,9;2,2;1,6;3,6;4,3;4,9;1,7;2,1;3,8;1,5;4,1;4,2;2,6;11,0;4,7;0
16/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
17/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
18/02/2024;16,9;7,6;12,3;37,3;11,8;12,2;22,1;35,3;58,4;13,0;26,8;27,9;36,9;38,7;57,5;6,3;5,2;17,6;11,8;52,3;47,8;45,8;33,6;46,2;6,0;28,4;1,5;11,4;8,1;15,8;29,6;0,7;3,2;1
19/02/2024;0,1;0,1;0,1;0,3;0,2;0,4;0,1;0,0;1,3;1,4;0,3;4,6;0,0;2,7;0,8;0,1;0,3;0,2;0,0;0,3;0,1;0,6;0,0;0,3;20,1;9,3;6,5;1,1;5,8;10,1;0,2;1,5;10,1;1
20/02/2024;5,0;8,2;2,6;3,0;10,1;12,7;2,4;7,1;17,1;16,2;19,1;12,2;9,0;16,5;10,6;12,8;14,5;8,6;7,8;25,8;17,6;14,5;10,7;16,5;11,2;7,7;18,0;12,3;15,4;15,3;14,9;20,2;21,3;1
21/02/2024;18,6;21,8;12,8;19,0;23,7;26,4;14,7;16,3;17,7;14,0;21,4;15,2;27,0;18,4;13,3;23,2;16,7;20,4;22,0;27,3;25,4;42,2;28,5;31,6;13,1;23,5;14,9;18,2;12,6;17,8;18,3;22,8;17,4;1
22/02/2024;0,3;0,2;0,5;0,3;0,2;0,4;0,2;0,3;0,4;0,1;0,2;0,2;0,2;0,2;0,4;0,1;0,0;0,2;0,2;0,0;0,1;0,3;0,2;0,1;0,1;0,5;0,1;0,4;0,1;0,1;0,1;0,3;0,5;0
23/02/2024;3,2;6,2;6,3;4,6;6,2;5,0;3,7;18,2;30,7;43,4;31,4;37,2;16,1;31,9;28,1;14,3;36,9;16,8;8,8;6,5;11,4;4,0;3,3;5,9;22,4;6,2;32,8;21,0;11,5;11,3;16,4;31,2;16,7;1
24/02/2024;4,5;3,9;5,6;26,7;1,5;4,6;9,4;3,1;4,7;8,1;3,5;2,7;8,6;1,4;10,1;21,0;18,6;4,5;5,4;25,5;13,9;4,3;3,7;10,3;20,1;18,1;17,1;13,3;13,6;10,7;15,4;13,7;19,2;1
25/02/2024;0,0;0,0;0,1;0,0;0,0;0,3;0,0;0,0;0,0;0,1;0,1;0,3;0,0;0,0;0,0;0,6;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,3;0,2;0,0;0,0;0,0;0,0;0,8;0,2;0
26/02/2024;0,2;0,1;2,0;0,5;0,0;0,2;1,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,1;0,0;0,0;0,0;0,0;1,2;0,0;0
